price,location,features,expensas,disposition,seniority,description,url
USD 93.500,"Monte Castro, Capital Federal","['44 m² tot.', '2 amb.', '1 dorm.', '1 baño']",,Frente,,"Venta 2 ambientes A estrenar en monte castrola unidad se encuentra en el 1° piso, con un amplio balcón a calle Lascano y el dormitorio con ventanal a Pasaje Verdi. el espacio cubierto esta equipado co",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-2-ambientes-en-monte-castro-a-estrenar-57436372.html?n_src=Listado&n_pills=Pileta&n_pg=2&n_pos=2
USD 105.000,"Villa Santa Rita, Capital Federal","['44 m² tot.', '2 amb.', '1 dorm.', '1 baño']",,Frente,,"Departamento semipiso a Estrenar En villa santa RitaExcelente Semipiso de categoría en piso 5, ubicado en el barrio de villa santa rita, ingresando a la propiedad nos encontramos con un amplio living ",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-dos-ambientes-a-estrenar-57167881.html?n_src=Listado&n_pills=Dormitorio+en+suite&n_pg=2&n_pos=3
USD 183.152,"Caballito Sur, Caballito","['35 un.', '2 a 5 amb.', '59 a 256 m² tot.', 'Parrilla', 'Pileta', 'Solarium', 'Balcón', 'Terraza']",,,,"Un jardin lleno de vida en el corazon de caballitoubicado en la av pedro goyena, la más destacada del barrio, se construirá un proyecto disruptivo de casas urbanas Y departamentos. 68 casas urbanas: v",https://www.zonaprop.com.ar/propiedades/emprendimiento/ememvein-goyena-portland-56318537.html?n_src=Listado&n_pg=2&n_pos=4
USD 240.000,"Caballito, Capital Federal","['100 m² tot.', '3 amb.', '2 dorm.', '2 baños', '1 coch.']",$ 190.000 Expensas,,,"Venta departamento 3 ambientes en caballito! Con cochera! Excelente oportunidad en el barrio de Caballito, a metros de Av. La Plata y con muy buen acceso a transporte, comercios y espacios verdes. El ",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-en-caballito-capital-federal-56475848.html?n_src=Listado&n_pg=2&n_pos=5
USD 190.000,"Recoleta, Capital Federal","['46 m² tot.', '1 amb.', '1 coch.']",,Frente,,"&quot;torre iq&quot; recoleta - full amenities spa - venta monoambiente recoletarecoleta – Callao y Las HerasApto profesional | Ideal renta / AirbnbMonoambiente en venta ubicado en Recoleta, en una de",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-torre-iq-categoria-spa-ideal-inversion-renta-57936749.html?n_src=Listado&n_pills=Laundry&n_pg=2&n_pos=6
USD 270.000,"Caballito Sur, Caballito","['110 m² tot.', '4 amb.', '3 dorm.', '2 baños']",$ 250.000 Expensas,Frente,,"_ Departamento de tres dormitorios en venta ubicado sobre Avenida Avellaneda entre Almirante Seguí y José Juan Biedma (Caballito, Ciudad Autónoma de Buenos Aires). Desarrollado en primer piso por asce",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-3-dorm.-3-banos-110-m-sup2-57752715.html?n_src=Listado&n_pills=Laundry&n_pg=2&n_pos=7
USD 131.800,"Boedo, Capital Federal","['21 un.', '2 a 5 amb.', '56 a 168 m² tot.', 'Balcón', 'Terraza']",,Frente,,"El edificio cuenta con unidades de 2, 3, 4 y 5 ambientes posee un luminoso hall de entrada, 2 ascensores amplios con la última tecnología del mercado. Las cocheras se sitúan en subsuelo y planta baja.",https://www.zonaprop.com.ar/propiedades/emprendimiento/ememvein-muniz-1060-54386487.html?n_src=Listado&n_pg=2&n_pos=8
USD 108.000,"Centro / Microcentro, Capital Federal","['50 m² tot.', '3 amb.', '2 dorm.', '1 baño']",,,,"Apto credito!! Espectacular departamento de 3 ambientes, ubicado en una de las calles más importantes de Microcentro, a pasos de Av. Santa Fe, rodeado de múltiples accesos de transporte. El departamen",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-de-3-ambientes-en-venta-en-microcentro-55638395.html?n_src=Listado&n_pills=Apto+cr%C3%A9dito&n_pg=2&n_pos=9
USD 181.800,"Palermo, Capital Federal","['55 m² tot.', '2 amb.', '1 dorm.', '2 baños']",$ 67.000 Expensas,Frente,,"Edificio de Categoría de excelente calidad constructiva ubicado en la Avenida Honduras 3840 entre Jerónimo Salguero y Bulnes pleno barrio de Palermo, a pasos del shopping Alto Palermo y Avenidas Santa",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta:-2-ambientes-de-mucha-categoria-sum-piscina-57656037.html?n_src=Listado&n_pills=Parrilla&n_pg=2&n_pos=10
USD 103.400,"Constitución, Capital Federal","['47 m² tot.', '2 amb.', '1 dorm.', '1 baño']",,,,"Venta con renta hasta fin de año. Monoambiente en Zona Céntrica, Capital FederalA estrenar ¡¡dos ambientes en distrito uade! full amenitiesexcelente ventilacionmuy luminosoamplisimo balcon aterrazadop",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-dos-ambientes-a-estrenar-full-amenities-56200472.html?n_src=Listado&n_pills=SUM&n_pg=2&n_pos=11
